2023-12-08 22:55:27 - MainProcess | MainThread | base_page.__init__:46 - SUCCESS -Start a new browser: chrome, Spend 1.2822191715240479 seconds.
2023-12-08 22:55:27 - MainProcess | MainThread | base_page.open_url:58 - SUCCESS -Navigated to https://www.baidu.com.
2023-12-08 22:55:28 - MainProcess | MainThread | base_page.input:196 - SUCCESS -Input 'selenium' to id->kw, Spend 0.2849445343017578 seconds.
2023-12-08 22:55:28 - MainProcess | MainThread | base_page.click:179 - SUCCESS -Click element id->su, Spend 0.06599974632263184 seconds.
2023-12-08 22:55:28 - MainProcess | MainThread | base_page.get_text:246 - SUCCESS -Get text: '' from id->su, Spend 0.031113624572753906 seconds.
2023-12-08 22:55:28 - MainProcess | MainThread | base_page.assert_text:414 - ERROR -Actual text '' does not match expected text '百度一下'
2023-12-08 22:55:28 - MainProcess | MainThread | base_page.take_screenshot:500 - SUCCESS -Get the current window screenshot,path: D:\PublicInstitutionSystem\report\image\screenshot_20231208-225528.png, Spend 0.0 seconds.
2023-12-08 22:57:27 - MainProcess | MainThread | base_page.__init__:46 - SUCCESS -Start a new browser: chrome, Spend 1.1363496780395508 seconds.
2023-12-08 22:57:27 - MainProcess | MainThread | base_page.open_url:58 - SUCCESS -Navigated to https://www.baidu.com.
2023-12-08 22:57:28 - MainProcess | MainThread | base_page.input:196 - SUCCESS -Input 'selenium' to id->kw, Spend 0.280703067779541 seconds.
2023-12-08 22:57:28 - MainProcess | MainThread | base_page.click:179 - SUCCESS -Click element id->su, Spend 0.07999801635742188 seconds.
2023-12-08 22:57:28 - MainProcess | MainThread | base_page.get_text:246 - SUCCESS -Get text: '' from id->su, Spend 0.02301311492919922 seconds.
2023-12-08 22:57:28 - MainProcess | MainThread | base_page.assert_text:414 - ERROR -Actual text '' does not match expected text '百度一下'
2023-12-08 22:57:28 - MainProcess | MainThread | base_page.take_screenshot:500 - SUCCESS -Get the current window screenshot,path: D:\PublicInstitutionSystem\report\image\screenshot_20231208-225728.png, Spend 0.0 seconds.
2023-12-08 22:58:19 - MainProcess | MainThread | base_page.__init__:46 - SUCCESS -Start a new browser: chrome, Spend 0.934906005859375 seconds.
2023-12-08 22:58:20 - MainProcess | MainThread | base_page.open_url:58 - SUCCESS -Navigated to https://www.baidu.com.
2023-12-08 22:58:20 - MainProcess | MainThread | base_page.input:196 - SUCCESS -Input 'selenium' to id->kw, Spend 0.27469825744628906 seconds.
